ALFREDO,STARKS,1,1
ANTONIA,STARR,2,1
RAYFORD,DOBSON,3,1
KELLEY,MEAD,4,1
CARROL,BOWDEN,5,1
ARTHUR,QUIGLEY,6,1
LACY,LACKEY,7,1
AMADO,HOYT,8,1
ELMER,CHIN,9,1
PEDRO,DALE,10,1
KELLY,MARRERO,11,1
DARRELL,LEVIN,12,1
BRETT,HUTCHISON,13,1
JUDE,CALVERT,14,1
RAUL,SADLER,15,1
HARLAND,GRIGGS,16,1
CHARLIE,KEENE,17,1
ARNOLDO,CHAMPION,18,1
NAPOLEON,SWAIN,19,1
NICKY,JARRETT,20,1
JOSIAH,HAMM,21,1
JIM,MOBLEY,22,1
DON,MOTT,23,1
CALVIN,CAHILL,24,1
DUSTIN,PETTIT,25,1
JERE,RICO,26,1
ROLF,PACK,27,1
RAFAEL,LACY,28,1
MANUAL,FONTENOT,29,1
MARION,ROBISON,30,1
DARRICK,SKAGGS,31,1
BRIAN,MCGINNIS,32,1
KEVIN,VALLE,33,1
PRINCE,TYSON,34,1
MOSHE,HEDRICK,35,1
EZEKIEL,GARLAND,36,1
RAY,JACOBSEN,37,1
MARION,BEACH,38,1
KENT,RUTLEDGE,39,1
STANLEY,BECERRA,40,1
GIUSEPPE,PAULSON,41,1
DERRICK,GOLDBERG,42,1
MARIANNE,ARAGON,100,2
LISA,BRAVO,101,2
ALTA,SUMNER,102,2
LILA,BOYCE,103,2
DEBBIE,HYDE,104,2
FERN,CARVER,105,2
CARRIE,DUNBAR,106,2
SAVANNAH,FRANCISCO,107,2
KATHRYN,WILDER,108,2
TRACY,STRATTON,109,2
KITTY,KINNEY,110,2
AIDA,VU,111,2
TERRA,SPICER,112,2
GLENDA,BACON,113,2
ALMA,ZEPEDA,114,2
EILEEN,PENN,115,2
AISHA,LOVELL,116,2
KATHLEEN,TOLBERT,117,2
APRIL,CORLEY,118,2
SAMANTHA,PINA,119,2
ZELMA,NANCE,120,2
LUPE,KEARNEY,121,2
SHELBY,SORENSEN,122,2
CINDY,LIM,123,2
PAULETTE,ROOT,124,2
IMOGENE,BYRNE,200,3
HOLLIE,DEMPSEY,201,3
MOLLIE,CHIN,202,3
SUSANNE,LEAL,203,3
YESENIA,MAGANA,204,3
ALYSON,REGAN,205,3
MAI,WHITTINGTON,206,3
ANNABELLE,WHALEN,207,3
MARIANNE,ROSENTHAL,208,3
ALEJANDRA,WASHBURN,209,3
MAI,LAKE,210,3
LEONA,CONKLIN,211,3
VICKIE,BOUCHER,212,3
MARISOL,THOMSON,213,3
ANGIE,BATTLE,214,3
VONDA,DOBBS,215,3
ELAINE,STANFORD,216,3
APRIL,MEDRANO,217,3
MAYRA,HELM,218,3
JULIANA,CULLEN,219,3
NORA,BAUMAN,220,3
CHRYSTAL,ATWOOD,221,3
KELLEY,MILTON,222,3
HALEY,DARNELL,223,3
ROBYN,DOWNEY,224,3
ROSALINDA,BROWNE,225,3
BRITT,PEREIRA,300,4
CURTIS,SANDERSON,301,4
HAYDEN,SHEEHAN,302,4
ROBERT,HERBERT,303,4
TREY,SINGER,304,4
TONEY,VU,305,4
PRINCE,GORMAN,306,4
RAYFORD,KANG,307,4
FRANCISCO,ADAIR,308,4
GILBERT,COPE,309,4
DEL,GIFFORD,310,4
CHAS,ANAYA,311,4
LENARD,EASON,312,4
ALEXANDER,DEAL,313,4
SUNG,HORNER,314,4
SID,KIMBALL,315,4
JASON,BENAVIDES,316,4
WILBER,GARY,317,4
SHAD,JACOBSEN,318,4
ANDREW,VARNER,319,4
QUINTIN,YARBROUGH,320,4
ARMANDO,IRVIN,321,4
ERNEST,WITT,322,4
BRANDON,TOBIN,323,4
JERRY,QUINTERO,324,4
HAI,CRUM,325,4
MIGUEL,REDMOND,326,4
DILLON,MACKEY,327,4
ROBT,FINNEY,328,4
GERALDO,SHEEHAN,329,4
RAYMOND,SHAPIRO,330,4
TYREE,SAMUELS,331,4
DEAN,WILDER,332,4
LYNWOOD,FINCH,400,5
ROLLAND,COE,401,5
LESLEY,HARTLEY,402,5
HOYT,GORE,403,5
ANDREW,KENNY,404,5
EDUARDO,LAU,405,5
STANTON,REEDER,406,5
OLIN,TROTTER,407,5
ANGEL,PIERSON,408,5
BOB,LANGSTON,409,5
FAUSTINO,TATUM,410,5
PORTER,BENEDICT,411,5
HOWARD,MIMS,412,5
BARRY,MELVIN,413,5
ZACHARY,BRAND,414,5
LEANDRO,MALONEY,415,5
SAMUAL,YARBROUGH,416,5
DOUGLASS,CHILDERS,417,5
ISAAC,MCALLISTER,418,5
EDMUNDO,MERRILL,419,5
STANTON,WILHELM,420,5
DANIEL,WORLEY,421,5
SETH,CHU,422,5
EVERETT,BRYSON,423,5
JORDON,FINNEY,424,5
GREG,BERMAN,425,5
KIP,VERNON,426,5
TOD,TONEY,427,5
PAUL,BYERS,428,5
BENTON,TOBIN,429,5
RALPH,AVALOS,430,5
KEENAN,SLATER,431,5
CHARLIE,LINDSAY,432,5
RICHARD,FINK,433,5
COLTON,LEYVA,434,5
ADALBERTO,CLEMENT,435,5
EZEKIEL,CHILDRESS,436,5
THANH,PENN,437,5
JERRELL,CORBETT,5000,6
LESLIE,MCMULLEN,5001,6
BILL,HATCH,5002,6
FRANKLYN,CHO,5003,6
EZEKIEL,HOLBROOK,5004,6
JAMEY,ROSAS,5005,6
RICO,LACEY,5006,6
NICHOLAS,GOLD,5007,6
ROGER,HOUSER,5008,6
BUD,FOUNTAIN,5009,6
CONNIE,DOBSON,5010,6
DAVID,SALGADO,5011,6
GARRET,TOMLINSON,5012,6
LARRY,SIZEMORE,5013,6
JEFFERY,CONKLIN,5014,6
ALAN,SOLANO,5015,6
ROBERTO,CORLEY,5016,6
ARTHUR,MAYES,5017,6
TERRENCE,PIERRE,5018,6
